Entry Time,Exit Time,Entry Price,Exit Price,direction,Signal Type,Exit Reason,PnL %,Direction
2025-01-29 08:20:00,2025-01-29 08:45:00,0.33186,0.33112,-1,MeanRev_Short,5-Bar Time Stop,0.16298559633579313,SHORT
2025-01-29 08:50:00,2025-01-29 09:15:00,0.32999,0.32819,1,MeanRev_Long,5-Bar Time Stop,-0.6054710748810641,LONG
2025-01-29 09:20:00,2025-01-29 09:45:00,0.32745,0.32764,1,MeanRev_Long,5-Bar Time Stop,-0.001975874179273784,LONG
2025-01-29 17:15:00,2025-01-29 17:40:00,0.32605,0.3261,-1,MeanRev_Short,5-Bar Time Stop,-0.07533507130807988,SHORT
2025-01-30 00:05:00,2025-01-30 00:30:00,0.32294,0.32325,1,MeanRev_Long,5-Bar Time Stop,0.03599306372700098,LONG
2025-01-30 01:15:00,2025-01-30 01:40:00,0.33081,0.33028,-1,MeanRev_Short,5-Bar Time Stop,0.10021281097910431,SHORT
2025-01-30 03:45:00,2025-01-30 04:10:00,0.33244,0.33168,-1,MeanRev_Short,5-Bar Time Stop,0.16861268198773868,SHORT
2025-01-30 11:05:00,2025-01-30 11:30:00,0.33064,0.33192,1,MeanRev_Long,5-Bar Time Stop,0.32712799419308114,LONG
2025-01-30 20:35:00,2025-01-30 20:45:00,0.33272,0.33105640000000003,1,MeanRev_Long,Stop Loss,-0.5599999999999962,LONG
2025-01-31 00:05:00,2025-01-31 00:30:00,0.33088,0.33061,1,MeanRev_Long,5-Bar Time Stop,-0.14160058027079075,LONG
2025-01-31 02:25:00,2025-01-31 02:40:00,0.32921,0.3289,1,MeanRev_Long,Stall Filter (Bar 3),-0.15416481880865615,LONG
2025-01-31 03:05:00,2025-01-31 03:30:00,0.32725,0.32625,1,MeanRev_Long,5-Bar Time Stop,-0.3655767761650117,LONG
2025-01-31 04:00:00,2025-01-31 04:25:00,0.32705,0.32823,1,MeanRev_Long,5-Bar Time Stop,0.30080110074912536,LONG
2025-01-31 10:15:00,2025-01-31 10:40:00,0.32695,0.32789,1,MeanRev_Long,5-Bar Time Stop,0.22750573482183709,LONG
2025-01-31 18:30:00,2025-01-31 18:40:00,0.32782,0.3261809,1,MeanRev_Long,Stop Loss,-0.5600000000000013,LONG
2025-02-01 06:35:00,2025-02-01 06:50:00,0.32729,0.32773,1,MeanRev_Long,Stall Filter (Bar 3),0.07443734913990527,LONG
2025-02-01 07:45:00,2025-02-01 08:10:00,0.32538,0.32568,1,MeanRev_Long,5-Bar Time Stop,0.03219988936013968,LONG
2025-02-01 08:15:00,2025-02-01 08:40:00,0.32511,0.32424,1,MeanRev_Long,5-Bar Time Stop,-0.3276017347974646,LONG
2025-02-01 09:30:00,2025-02-01 09:50:00,0.32313,0.32054496,1,MeanRev_Long,Stop Loss,-0.8599999999999948,LONG
2025-02-01 11:15:00,2025-02-01 11:40:00,0.32503,0.32498,-1,MeanRev_Short,5-Bar Time Stop,-0.044616804602653756,SHORT
2025-02-01 17:15:00,2025-02-01 17:40:00,0.3225,0.32136,-1,MeanRev_Short,5-Bar Time Stop,0.2934883720930325,SHORT
2025-02-02 02:50:00,2025-02-02 03:10:00,0.30699,0.30453408,1,MeanRev_Long,Stop Loss,-0.8600000000000002,LONG
2025-02-02 03:20:00,2025-02-02 03:35:00,0.30193,0.30402074,1,MeanRev_Long,Trailing Stop,0.632458516874784,LONG
2025-02-02 03:50:00,2025-02-02 03:55:00,0.30151,0.29909792,1,MeanRev_Long,Stop Loss,-0.8599999999999944,LONG
2025-02-02 04:00:00,2025-02-02 04:10:00,0.29778,0.30060891,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000061,LONG
2025-02-02 07:05:00,2025-02-02 07:30:00,0.30098,0.3007,1,MeanRev_Long,5-Bar Time Stop,-0.15302943717190592,LONG
2025-02-02 07:35:00,2025-02-02 07:55:00,0.29908,0.300318845,1,MeanRev_Long,Trailing Stop,0.35421860371806485,LONG
2025-02-02 08:20:00,2025-02-02 08:45:00,0.30272,0.3033,-1,MeanRev_Short,5-Bar Time Stop,-0.2515961945031795,SHORT
